"soru_id","yil","ay","soru_no","soru_metni","secenek_A","secenek_B","secenek_C","secenek_D","dogru_cevap","kaynak"
"2018_2019_S04_21094400_soz","2018-2019","Şubat","4","Yazar, yaygın bir fikri değiştirmek amacıyla yazdığı bu yazıda, savunduğu düşünceyi başkasının görüşüyle desteklemiştir. Aşağıdakilerden hangisi bu cümlede sözü edilen yazıdan alınmış olabilir?","Birçok sanatçı, sanat eserlerinin hiçbir düşünceyi yaymadığını söyler. Böyle bir şey mümkün değildir. Her eser, ister istemez bir insanın, bir toplumun düşüncelerini bildirir. Hatta sadece güzellik kaygısıyla yazılmış olanlar bile bir dünya görüşünden haber verir. Böyle olmasaydı Benite “Sanat eserleri bir medeniyeti sonraki nesillere anlatan şahitlerdir.” der miydi hiç?","Bir yazarın, dilini geliştirmesi neye bağlıdır? Bu sorunun cevabı gayet basit: Halkla göbek bağını kesmemesine... Çünkü dili doğuran, besleyip geliştiren, halktır. Şair ve yazarlar ise halkın sesidir. Ne güzel diyor Dağlarca: “Şair ve yazarlar çağlarının, ülkelerinin ön duyarlılıklarıdır. Bir karanlığı, bir acıyı ilk onlar dile getirir.” Bu gerçek, yeryüzündeki bütün şair ve yazarlar için geçerlidir.","Dostluğun temelinde sevgi vardır. Dostlukta hiçbir şey yalan ve yapmacık değildir, her şey gerçektir ve içten gelir. Bu yüzden dostluk, ihtiyaçlar ve çıkarlar gözetilerek doğmaz. Dostluğun doğuşunda, ruhların sevgiyle birbirine bağlanması vardır. Aristo’nun da dediği gibi dostluk, iki gövdede yaşayan bir ruhtur.","Bir sanatçının eser ortaya koyması; toplum içinde onu isteyen, ondan anlayan; onun güzelliğini, çirkinliğini, iyiliğini ve kötülüğünü seçebilecek kimseler bulunduğuna inandığını gösterir. Bu nedenle sanat adamının, eseri ile ilgili eleştiri yazılmasını istememesine aldanmayın. Onun istemediği şey, ortaya koyduğu eserin beğenilmemesidir.","B","21094400_sozel_subat_ayi_ornek_sorular"
"2018_2019_S06_21094400_soz","2018-2019","Şubat","6","Söylenmemiş aşkın güzelliğiyledir Kâğıtlarda yarım bırakılmış şiir İnsan, yağmur kokan bir sabaha karşı Hatırlar bir gün bir camı açtığını Duran bir bulutu, bir kuş uçtuğunu Bu dizelerin anlamlı ve kurallı cümleler hâline getirilmiş biçimi aşağıdakilerden hangisidir?","İnsan, bir gün yağmur kokan bir sabaha karşı söylenmemiş aşkın güzelliğiyle bir camı açtığını, duran bir bulutu, bir kuş uçtuğunu, kâğıtlarda yarım bırakılmış şiiri hatırlar.","İnsan, bir gün yağmur kokan bir sabaha karşı duran bir bulutu, bir kuş uçtuğunu, kâğıtlarda söylenmemiş aşkın güzelliğiyle yarım bırakılmış şiiri hatırlar.","Kâğıtlarda yarım bırakılmış şiir, aşkın güzelliğiyle söylenmemiştir. İnsan, yağmur kokan bir sabaha karşı bir gün bir camı açtığını, duran bir bulutu seyrettiğini, bir kuş uçtuğunu hatırlar.","Kâğıtlarda yarım bırakılmış şiir, söylenmemiş aşkın güzelliğiyledir. İnsan bir gün, yağmur kokan bir sabaha karşı bir camı açtığını, duran bir bulutu, bir kuş uçtuğunu hatırlar.","D","21094400_sozel_subat_ayi_ornek_sorular"
"2018_2019_S07_21094400_soz","2018-2019","Şubat","7","Çamaşırcı bir kadının kızı, okumak için benden kitap isteyince hoşuna gider diye düşünerek ona Orhan Kemal’in “Çamaşırcının Kızı” adlı öykü kitabını verdim. Ertesi sabah yanıma gelip kitabı bana uzatınca “Ne o, hemen getirdin kitabı, beğenmedin mi yoksa?” dedim. Kız, gözlerimin içine bakarak “- - - -” dedi ve ekledi: “Ben okuduğum her kitapta yeni bir dünyayla tanışmak istiyorum.” Bu metinde boş bırakılan yere düşüncenin akışına göre aşağıdakilerden hangisi getirilmelidir?","Önce yazarını tanımalıyım.","Ben bunları biliyorum zaten.","Bana sıkıntılarımı hatırlatıyor.","O kadar akıcıydı ki bir çırpıda bitirdim.","B","21094400_sozel_subat_ayi_ornek_sorular"
"2018_2019_S08_21094400_soz","2018-2019","Şubat","8","Bir sanat alanında başarılı olmuş insanlar, bu alanda adını duyurmak isteyen kişilere bazen doğrudan destek verir, bazen de ilham kaynağı olur. Bu cümlede anlatılan durumu, I. Paulo Coelho’nun anne ve babası, onun umut vadeden bir mesleğe yönelmesini istiyordu. Ancak o, yazar olmayı düşlüyordu ve ailesinin karşı çıkmasına rağmen yazmaya devam etti. Coelho’nun “Simyacı” isimli romanı dünya genelinde kırk milyondan fazla satıldı. Kitapları altmıştan fazla dile çevrildi. Mükemmel bir avukat da olabilirdi ancak o, dünyaca ünlü bir yazar oldu. II. Minnesota’da doğan Bob Dylan, müzisyenlikle ilgili hayallerini gerçekleştirmek için New York’a gitti. Orada pek çok sanatçıyla tanıştı. Bunlar arasında, onu hayal bile edemeyeceği sanatsal noktaya taşıyan kişi Woody Guthrie oldu. Onun ses kaydını duyduğu anı “Zihnimde bir şimşek çakmış gibiydi.” diyerek ifade eden Dylan, yıllardır aradığını o kayıtta bulmuştu. III. Ressam olma hayaliyle büyüyen Mahişeker Hanım, bulduğu her kâğıda resim çizerek kendini bu alanda yetiştirmiştir. Resim tutkusu, ilkokul öğretmeninin etkisiyle küçük yaşlarda başlayan bu sanat âşığı teyzemiz “Köy yerinde ressam mı olurmuş?” sözlerine inat, resim yapmayı hiç bırakmadığını söylüyor. metinlerinden hangileri örneklendirmektedir?","Yalnız I.","Yalnız II.","II ve III.","I, II ve III.","B","21094400_sozel_subat_ayi_ornek_sorular"
"2018_2019_S09_21094400_soz","2018-2019","Şubat","9","Kısaltmalarla ilgili bir çalışmada, kısaltmaların farklı yöntemlerle oluşturulduğu ifade edilmektedir. Bu yöntemlerden bazıları şunlardır: • Kelimenin ilk hecesi kullanılarak yapılır. • Kelimenin bazı ünlü ve ünsüz harfleri birlikte kullanılarak yapılır. • Birleşik kelimelerde her kelimenin ilk harfi kullanılarak yapılır. Aşağıdakilerden hangisi bu metinde sözü edilen kısaltma türlerinden herhangi birine örnek olabilir?","AA (Anadolu Ajansı)","m (Metre)","TR (Türkiye)","Apt. (Apartman, Apartmanı)","D","21094400_sozel_subat_ayi_ornek_sorular"
"2018_2019_S10_21094400_soz","2018-2019","Şubat","10","• Topkapı Sarayı’nda bulunan bakır pişirme kapları oldukça büyüktür. • Şüphe dolu gözlerle “Dostum, ne’n var; her şey yolunda mı?” diye sordu. • III. Selim, İsmail Dede Efendi’nin bestelerini severek dinlemiştir. Bu cümlelerde kesme işaretinin (’) aşağıdaki işlevlerinden hangisinin örneği yoktur?","Planlı ve çalışkan olması","Sabırlı ve disiplinli olması","İyi bir asker ve yönetici olması","Zengin bir düşünce yapısına sahip olması","C","21094400_sozel_subat_ayi_ornek_sorular"
"2018_2019_S01_22101303_oca","2018-2019","Ocak","1","Beşinci sınıftayken tanıştığı genç bir öğretmen sayesinde matematikle ilgilenmeye başladı. İstanbul Üniversitesi Fen Fakültesinde profesör ve ordinaryüs profesörlüğe yükseldi, 1962’ye kadar üniversitede çalışmalarını sürdürdü. “Arf Değişmezi” ve “Arf Halkaları” olarak anılan çalışmaların yanı sıra “Hasse-Arf Teoremi”ni de matematik bilimine kazandırdı. 10 TL’lik banknotta portresi yer alan, matematik konusunda yaptığı çalışmalarla dünyaca ün kazanmış olan Ord. Prof. Dr. Cahit Arf’ı tanıyor muyuz? Lisede, okul arkadaşlarının çözemediği matematik sorularını çözüyordu. Geometri problemlerinin cetvel ve pergel yardımıyla çözülebilirliği konusunda çalışmalar yaptı. Türkiye Bilimsel ve Teknolojik Araştırma Kurumunda (TÜBİTAK) ilk bilim kurulu başkanı oldu. Fransa’da yükseköğrenimini tamamladı. Bu metinden hareketle Cahit Arf’la ilgili aşağıdakilerin hangisine ulaşılabilir?","Dünyaca ünlü bilim insanları yetiştirmiştir.","Matematikte birtakım özgün buluşlara imza atmıştır.","Türkiye Bilimsel ve Teknolojik Araştırma Kurumunun kurucusudur.","Matematiğe olan tutkusu, yurt dışında başlamıştır.","B","22101303_ocak_ayi_ornek_sorular_sozel"
"2018_2019_S02_22101303_oca","2018-2019","Ocak","2","Aşağıdakilerin hangisi “Hangi konuda yazarsam yazayım, gördüklerimi kendi ruh süzgecimden geçirmeden okuyucuya sunmam.” diyen bir sanatçıya ait olabilir?","Berber bir süre baktı kapıdan çıkan adama, sonra tezgâha doğru yürüdü. Elinde tespih olan müşteri, sırası geldiği için koltuğa oturdu. Havlusu, çırağın elinde hazırdı. Berber, bir yandan tezgâhın üzerinde duran usturalardan birini seçmeye çalışıyor, bir yandan da koltukta oturan adama bakıyordu.","Arabamı evin önüne park ederken duydum miyavlama seslerini. Başımı camdan uzatınca Tekir’in mahalleye dışarıdan gelen iki kediyi kovaladığını gördüm. Kedilerden sarı tüylüsü bir an dönüp tüylerini kabarttı, anında üzerine yürüdü Tekir. “Dur, Tekir; yapma!” diye bağırdım.","Avluya girip duvar kenarına çömeldi. Sırtında deve tüyü çuldan yapılmış kısa bir cepken, bunun altında yıpranmış bir gömlek vardı. Ucunu sağ yanağının üstüne getirdiği kasketi yağ içindeydi. Kasketin yırtık ucundan koyu sarı bir mukavva sarkmıştı. Uzun süre hiç konuşmadan öylece oturdu.","Her zamanki yerimizde, bahçedeki çınarın gölgesine kurulan masalardan birinde oturuyorduk. Çınarın kalın dallarını süsleyen iri, yeşil yapraklarda ne bir esinti vardı ne de bir kıpırtı. Koca çınar, heykel misali kaskatı eğilmişti masamızın üzerine. Emel, belki serinletir diye vantilatörü çıkarmıştı bahçeye.","C","22101303_ocak_ayi_ornek_sorular_sozel"
"2018_2019_S03_22101303_oca","2018-2019","Ocak","3","Rıdvan, kitap sipariş etmek için bir siteye üye olacaktır. Bunun için şifre oluşturması gerekmektedir. Şifre belirleme kuralları aşağıda verilmiştir. ● Şifreniz en az bir büyük harf, bir küçük harf, bir özel karakter (#, @, &, ?, !) ve bir rakam içermelidir. ● Şifrenizde, alfabetik sıralamada art arda gelen harfler (AB, ab, Ab, aB gibi) yan yana yer almamalıdır. ● Şifreniz en az beş, en çok dokuz karakter uzunluğunda olmalıdır. ● Şifrenizde “ç, ğ, ı, ö, ü, ş” harfleri olmamalıdır. ŞİFRE Buna göre Rıdvan, aşağıdaki şifrelerden hangisini oluşturursa siteye üye olabilir?","46KkLL!S","n27@ıRY","B?vM34c1","a#Ez60T9&G","C","22101303_ocak_ayi_ornek_sorular_sozel"
"2018_2019_S04_22101303_oca","2018-2019","Ocak","4","Öğretmen: — Kitap okuyor musunuz, Ümit Bey? Ümit Bey: — Okumuyorum, bunun eksikliğini de hissetmiyorum. Öğretmen: — - - - Bu konuşmada boş bırakılan yere aşağıdakilerin hangisi getirilirse Ümit Bey’in dile getirdiği durumun, çevresi üzerindeki olumsuz etkisi vurgulanmış olur?","Sizin adınıza çok üzüldüm.","Ama biz hissediyoruz.","İnsanlar bu durumu nasıl karşılıyor?","İleride pişman olabilirsiniz.","B","22101303_ocak_ayi_ornek_sorular_sozel"
"2018_2019_S05_22101303_oca","2018-2019","Ocak","5","Bu görseli en doğru yansıtan metin aşağıdakilerden hangisidir?","Geçenlerde mahalleden iskeleye kadar yürüyeyim, dedim. Sahilde kimi göreyim? Bizim Emine teyze bir köşeye oturmuş, kuşları yemliyor. Yanına gidip başına dikildim. Beni görünce heyecanlandı, hemen ayağa kalktı. Başladık eski günleri, o meşhur turşularını, benim mavi bisikleti konuşmaya.","Sözde öğleden sonra buluşacaklardı ama Suat yapmıştı yine yapacağını. Bekleye bekleye bir hâl olmuştu. Karnı da epey acıkmıştı. Acaba arkasındaki simitçiden simit alsa açlığını bastırabilir miydi?","Süleyman, dikkat et, diyorum. Ağabey, merak etme, diyor. Hareket hâlindeki kamyona binmeye çalışılır mı hiç? Aşk olsun Mahmut, sen de gece gece şehrin göbeğine ne demeye soktun ki bizi? Oğlum, in aşağı; şimdi bir kaza çıkacak!","Eyvah! Kırmızı hırkalı yaramaz yine çıkageldi. Ne zaman annesi ve kardeşi ile buradan geçseler bizi ürkütmeyi görev sayar. O yetmezmiş gibi bugün bir de şapkalı amcamız var. Dur, şunun etrafında uçup onu rahatsız edeyim! 8 6 ve 7. soruları aşağıdaki metne göre cevaplayınız. “Dede Korkut Kitabı” atasözü, deyim, ağıt vb. sözlü ürünlerin yanı sıra Türk gelenek ve inanışlarına da yer verilen hikâyelerden oluşan zengin bir kaynaktır. 15. yüzyılda yazıya geçirilen ve bugün Türkiye, Azerbaycan ve Kazakistan’ı kapsayan geniş bir bölgede “Dede Korkut veya Korkut Ata” olarak tanınan bilge kişilik etrafında oluşan hikâyeler, edebiyatımızın en özgün eserlerindendir. Kitapta on iki hikâye vardır. Destandan halk hikâyesine geçiş niteliği gösteren bu hikâyelerin en önemli özelliklerinden biri, şiirsel anlatıma sahip olmasıdır. Kahramanlıkların efsanevi unsurlarla birlikte anlatıldığı hikâyelerde Dede Korkut, zaman zaman ortaya çıkar ve bilge bir kişi olarak kurguya katkıda bulunur. İşte geleneğimizin bu eşsiz eseri, “Dede Korkut (Korkut Ata) Mirası: Kültürü, Efsaneleri ve Müziği” adıyla Türkiye, Azerbaycan ve Kazakistan’ın ortak başvurusu sonucu 28 Kasım 2018’de UNESCO İnsanlığın Somut Olmayan Kültürel Mirası Temsilî Listesi’ne kabul edilmiştir.","A","22101303_ocak_ayi_ornek_sorular_sozel"
"2018_2019_S06_22101303_oca","2018-2019","Ocak","6","Bu metinden Dede Korkut hikâyeleri ile ilgili, I. Dede Korkut tarafından kaleme alınmıştır. II. Gerçek ve olağanüstü olaylar birlikte anlatılmıştır. III. Türk kültürünün zenginliklerini gösteren önemli bir kaynaktır. IV. Halk hikâyelerinin oluşumuyla ilgili bilgilere yer verilmiştir. yargılarından hangileri çıkarılabilir?","I ve II.","I ve IV.","II ve III.","III ve IV.","C","22101303_ocak_ayi_ornek_sorular_sozel"
"2018_2019_S07_22101303_oca","2018-2019","Ocak","7","Bu metinde iki nokta (:) aşağıdaki işlevlerinden hangisiyle kullanılmıştır?","Kendisiyle ilgili açıklama yapılacak cümle veya ifadelerin sonuna konur.","Karşılıklı konuşmalarda, konuşan kişiyi belirten sözlerden sonra kullanılır.","Edebî eserlerde konuşma bölümünden önceki ifadenin sonunda kullanılır.","Kendisiyle ilgili örnek verilecek cümle veya ifadelerin sonuna konur.","A","22101303_ocak_ayi_ornek_sorular_sozel"
"2018_2019_S08_22101303_oca","2018-2019","Ocak","8","Aşağıdaki şekillerde numaralanmış bölümlere, çevresindeki sözcük veya söz gruplarının çağrıştırdığı en uygun kavram yazılmak istenmektedir. Azim Çalışmak İrade 2 Huzur Paylaşmak Aile 1 Beden dili Dinlemek Haberleşmek 3 Buna göre, numaralanmış yerlere getirilecek kavramlar aşağıdakilerin hangisinde doğru verilmiştir? 1 2 3","İletişim Başarı Mutluluk","Mutluluk İletişim Başarı","Mutluluk Başarı İletişim","İletişim Mutluluk Başarı","C","22101303_ocak_ayi_ornek_sorular_sozel"
"2018_2019_S09_22101303_oca","2018-2019","Ocak","9","Hani kimi zaman bir şeyler hissederiz, bir esinti yoklar içimizi. Bu hisleri ifade etmek isteriz ama uygun sözcükleri bir türlü bulamayız. Dilimizin ucuna bir şeyler gelir gibi olur ancak söze dönüşmez. Bu durumu Orhan Veli ne güzel dile getirmiştir: “- - - -” Bu metinde boş bırakılan yere anlam akışına göre aşağıdakilerden hangisi getirilmelidir?","Eve ekmekle tuz götürmeyi Böyle havalarda unuttum Şiir yazma hastalığım Hep böyle havalarda nüksetti Beni bu güzel havalar mahvetti","Garibim Ne bir güzel var Avutacak gönlümü Bu şehirde Ne de tanıdık bir çehre Bir tren sesi Duymaya göreyim İki gözüm iki çeşme","İstanbul’da Boğaziçi’nde Bir garip Orhan Veli’yim Veli’nin oğluyum Tarifsiz kederler içinde","Bir yer var biliyorum Her şeyi söylemek mümkün Epeyce yaklaşmışım, duyuyorum Anlatamıyorum","D","22101303_ocak_ayi_ornek_sorular_sozel"
